User_id,Game_id
1,249130
2,599160
2,574090
5,379210
6,865180
7,405190
7,704480
8,706840
8,612250
9,523440
9,377310
9,749870
10,7770
10,991480
10,838640
11,997870
11,345390
13,42910
13,446800
14,840860
14,370510
14,718180
15,758070
15,738920
15,396850
16,450440
18,822870
18,600530
18,813970
19,932330
19,886270
19,518060
21,435970
21,435260
23,899930
23,1053300
23,361280
23,237350
23,546800
24,483950
25,529020
26,951450
27,291630
29,578830
30,916150
31,707350
31,98900
31,395550
31,216260
32,683430
34,982770
35,448650
35,713680
35,1025940
35,659900
37,380550
37,803270
38,46410
39,906340
40,692610
40,824070
41,834390
41,394840
41,730920
41,911550
41,308060
42,494970
42,742380
42,550160
43,752770
44,897950
44,47400
44,527420
44,485390
46,966000
46,593560
46,922810
47,803080
47,804550
49,15520
49,557330
49,352530
49,572430
49,656360
49,425600
50,790160
51,925090
51,466480
52,47400
52,340380
52,673480
53,551650
53,318970
53,761330
53,805850
54,977810
55,460150
56,876860
57,244810
58,575570
58,278620
60,952920
61,358290
61,360940
62,505060
62,295610
62,38230
63,758170
63,795050
64,853550
64,651120
64,588980
65,789290
65,733710
66,356310
67,509250
68,423760
68,369270
68,622480
69,838690
69,955230
70,512090
70,312150
70,579720
71,957590
71,233190
72,500940
73,464620
74,832690
74,637670
74,386290
74,94200
75,790660
75,959030
75,549660
75,950130
75,327860
75,22320
77,207370
77,869630
77,319480
77,936530
78,215530
79,555150
79,923460
79,912680
79,872360
80,504420
80,757490
81,35720
81,790700
82,952930
83,535630
83,496000
83,960320
83,780440
83,296050
84,845380
84,1012180
85,33660
85,777620
86,1025200
87,606370
87,953580
87,868930
87,603130
88,800130
88,418610
89,517300
89,520150
90,891860
90,498700
91,863270
91,605790
93,593210
93,877820
95,248510
96,345460
96,361330
96,250260
97,673970
97,442120
98,263560
98,535700
98,721090
99,552800
99,498710
99,421050
100,798730
100,386770
101,746140
102,867540
103,346950
104,513490
104,814140
105,557420
107,971480
109,263500
110,799610
110,700730
111,4560
112,557670
113,398120
114,997790
114,458380
114,703270
115,796050
116,959770
116,295750
116,255710
116,532110
116,469930
116,844140
118,46550
118,581200
119,907220
119,601620
120,773230
120,397060
121,665590
121,327950
122,4880
122,289360
123,603100
124,915430
124,378100
124,974670
125,709880
127,9450
127,268670
128,275490
128,848810
129,200960
129,869590
129,953050
130,890750
132,446000
134,466720
134,512770
135,955070
135,281370
136,717980
136,353790
136,870450
136,749320
137,32400
138,242680
138,238050
139,251850
140,505070
142,349510
143,978380
143,653210
144,208620
145,443110
146,495910
146,537170
147,434820
147,606490
147,322900
148,4580
148,857110
148,661390
148,844590
149,833820
151,416680
152,48000
152,844250
152,763360
153,512420
153,882630
154,291450
154,398980
154,731590
154,969130
156,536670
156,717060
156,714580
156,679480
157,793360
158,829540
158,364100
160,846440
161,238010
163,873860
164,40200
166,681800
166,618550
166,564530
167,667360
168,500790
168,247430
170,533170
170,682780
170,745550
170,363490
171,559140
171,918880
172,540860
172,244830
174,916510
174,633320
174,509170
174,238010
175,421610
176,781640
176,394360
176,562010
177,945580
178,898690
178,586600
179,886830
179,668730
180,889460
180,922880
181,657590
181,675830
182,930310
182,665490
183,733840
183,510060
184,574310
185,632050
186,588710
186,476240
186,637090
186,898930
188,700910
188,491580
189,63960
189,658610
189,821390
190,818210
190,248310
190,681160
191,355560
191,273070
191,479020
192,504260
193,403460
193,293220
194,493040
195,466170
197,751530
198,886580
198,699930
198,262410
199,517320
199,1028940
200,770810
201,448750
201,404660
202,518680
202,943380
203,312660
203,9880
203,618210
204,858360
206,287780
206,566190
207,43000
207,977950
208,667690
208,243930
208,787550
208,989250
208,827270
209,500920
209,621780
209,625990
210,833920
210,953990
211,12450
212,439260
212,644530
212,950130
214,402340
214,403780
214,347060
214,704070
215,313190
216,507360
218,450030
219,266050
221,363670
221,677980
221,251020
222,312750
222,582350
223,405820
223,3820
224,605310
224,1036530
224,709020
225,989630
225,392000
225,777130
225,376250
225,733520
226,706350
226,432410
226,842780
227,947270
228,615160
228,576670
229,560000
229,723020
230,677060
230,397440
230,819740
231,985680
232,283450
233,288100
233,853290
234,758480
234,1056010
234,721390
236,252290
236,856440
236,505220
236,6880
237,961510
237,776410
237,209750
239,438490
240,604740
240,352130
240,406300
241,547980
241,342990
242,886370
242,274190
243,671270
243,219990
243,679220
245,800280
246,959170
246,537090
246,618120
247,460560
247,845070
247,947250
248,672250
248,1018770
249,1009180
250,531140
250,449510
250,898650
251,639790
251,204180
251,719290
251,796460
252,338390
252,735840
253,485430
253,528990
253,92400
253,849920
255,843870
256,843210
256,377200
257,525680
257,264000
258,734550
259,324650
259,334100
259,669390
259,571860
259,792990
260,893510
260,360640
260,874330
262,410820
262,414190
262,631980
262,393610
263,535760
263,1016260
263,775760
264,828160
265,354560
265,840690
265,542880
270,61600
270,236690
270,816060
271,268360
271,388660
272,408410
273,783720
274,350010
274,503620
275,235540
276,586170
276,848640
276,332490
276,861180
278,660880
278,240340
278,446610
278,613670
279,708580
279,757210
279,735450
280,536930
281,373860
281,422870
282,299680
282,828900
282,781800
283,965830
283,810460
284,863660
285,828770
285,348280
285,875240
286,611500
286,73060
287,521710
287,485920
287,666260
287,445860
287,599430
287,870010
288,203560
288,718010
288,24790
289,938660
289,893790
290,822840
291,971610
292,330660
293,934500
293,688350
294,541350
295,512680
297,736930
298,745370
299,413740
299,453910
299,7860
300,935240
300,450390
300,280720
300,850250
300,792230
301,464000
301,787860
302,870590
302,621010
302,805400
302,460060
302,592020
303,339290
303,230700
303,1004030
303,313830
303,252030
303,220
304,859990
304,785140
304,246070
305,614380
305,584400
305,1058660
307,108110
309,493760
309,773120
310,715650
310,1069460
311,606280
311,353300
311,326460
312,671700
313,532470
315,828680
316,249190
317,951440
318,1008290
318,778120
318,667890
319,102850
320,433210
320,389330
321,238320
322,1048960
322,951220
323,468490
324,814640
324,494290
325,1026400
325,638900
325,895850
325,466770
326,582500
326,648630
327,658230
328,10270
329,378540
330,782100
331,454970
333,917810
333,687760
333,544520
334,578360
334,717780
334,534240
335,664430
335,497450
335,847460
336,797570
336,584890
337,760000
337,827130
337,853480
338,712000
338,959020
339,1031440
339,713070
340,520470
340,874330
341,1006450
342,751480
343,512410
343,393540
343,983590
343,830510
344,517210
344,260270
346,528990
346,657700
346,898760
347,980730
348,686520
348,761110
348,736510
348,456690
348,6300
349,585450
350,576280
350,758400
350,207430
350,224920
351,912790
351,362810
352,578800
353,759440
357,723390
358,336440
358,399180
359,773670
360,844330
360,796940
360,670610
361,283180
361,1024330
362,65270
362,667970
362,71340
362,680140
362,941790
363,681240
364,355860
364,504400
364,1001660
364,240340
365,1021700
365,539980
365,999030
365,824200
365,811800
367,372340
368,501060
368,461220
369,523000
370,1012180
370,267980
371,715470
371,423900
371,500690
372,674530
373,843520
374,953120
374,782320
374,542590
375,596540
376,626660
376,684210
376,676420
377,335570
377,938220
377,601490
377,463850
378,768800
379,552410
379,495890
379,545320
380,879110
380,911690
380,707680
381,591560
381,972290
382,977570
382,761040
382,828950
382,569340
382,806840
383,7110
385,354430
386,750270
387,912560
387,787170
387,951920
388,778810
389,841270
390,466980
390,423320
390,885220
391,287290
391,732290
392,23380
392,543030
394,932570
395,682160
397,411080
397,838180
397,796600
397,463440
397,944340
398,359250
400,383630
401,833270
402,350620
402,716040
402,506090
403,512770
403,867620
403,327560
403,263700
405,845290
405,450570
406,283560
407,662470
407,820750
407,556990
408,738470
409,253670
409,460220
409,536750
409,863310
410,767500
410,572040
410,602540
411,224480
412,680890
413,818950
413,685800
414,331750
416,492340
416,885790
417,513250
417,343100
419,233150
420,530890
420,995910
423,111000
423,678240
423,979600
424,99400
424,301500
425,358310
425,434800
428,823830
429,318950
429,364790
430,722620
430,983170
431,529870
431,932150
431,343360
432,9460
432,678430
432,718120
433,376300
433,292140
434,786400
436,949060
437,778610
437,512920
437,361100
438,513240
438,763680
439,502210
440,867110
440,450050
440,502770
441,518620
441,301650
442,666570
442,265380
443,319430
443,770110
443,906160
444,350780
444,341380
444,809310
